﻿customerInput;category
internetu stacjonarnego;internet stacjonarny
sprawdziłem dekoder podłączenia dobre dalszym ciągu obrazy dalszym ciągu pokazuje napis;dtv
telewizji proszę telewizji prostu działa telewizja;dtv
telewizja;dtv
dekoder działa słaby internet;dtv
zgubiłem rachunku proszę przysłanie rachunków mogę płacić kablówki;saldo
dekoderów działa;dtv
telewizorów wyświetliła informacja połączenia czym;dtv
odzywa odbierał telewizji;dtv
kontaktujcie rachunków;saldo
pisze niedopłata stało ostatni rachunek płacony dwutysięcznego;saldo
pokaż telewizji włączyć głupia;dtv
parę poprzednio wyliczany zapłacone rachunki słuchem;saldo
niestety chwili pory montaż dekodera;dtv
chyba windykację;windykacja
faktura;płatności
działem windykacji;windykacja
dekodery mogę oglądać telewizji chcecie odejść wczoraj bym dupek dzwonił mogę telewizji oglądać;dtv
numery telefonu komórkowego;telefon mobiny
internet stacjonarny;internet stacjonarny
czas pisze dostępu;dtv
złote zaległości tą sprawę wyjaśnić przychodziły rachunki;windykacja
razy powtarzać telewizora;dtv
przyjdzie karta sim telefon zmianę;telefon mobilny
godziny wyjaśni telewizor;dtv
małe mieszkania telewizja;dtv
minutki mijają telewizor wyłącza;dtv
salda;saldo
kontaktuję odbiera ogóle telewizor;dtv
żychlin ulica inżyniera okoniewskiego mieszkanie proszę wysłanie rachunków okres dwóch dziękuję;saldo
niedopłata;saldo
skoro rachunek zapłaciłam chodzi;saldo
nazwisko kowalska rachunków faktur fakt płot opłaty kiedyś płaciłem;saldo
panie dzwonię rachunku;saldo
zadłużenie wobec internet chciałam powiedzieć ureguluję wtorek;windykacja
zapłaty pozostaje pasuje wiem nadpłata;saldo
dni temu blankiety niedopłata;płatności
nowe;dtv
telewizji;dtv
terminu podłączenia telewizji;dtv
wizja dekoderem chyba wina dekodera sygnału;dtv
wypowiedzenia;rezygnacje
złote przyszła faktura którą opłaciłam proszę wyjaśnić okres faktura tyle muszę zapłacić;płatności
osób pokładzie wstrząśnie płatności;saldo
poprosił telefonie stacjonarnym mamy sygnału lubicie drugi tydzień;telefon stacjonarny
adres zmienić adres;przeniesienie usług
dekoderu działa;dtv
problem telewizją kablową dziękuję;dtv
dziewięciu zapłaty wiem chodzi dostałam wiem chodzi;saldo
kontaktuje powodu braku faktury telewizję kablową miesiąc;płatności
dzwonię bank dodzwonić wziąć numer konta płacić proszę pomóc;saldo
faktura przyszła;płatności
zapłacić;saldo
gruszy blankiety mum całym bliższa diuny czas płacze wiem nadwyżka wiem zrobić;płatności
napisane nadpłatę płacić rachunku;saldo
numer taryfa opłat proszę powiedzieć;dtv
pilot przestał chodzić akurat święta;dtv
zapłacenia wiem;saldo
budowna dekoder proszę powiedzieć zrobić czymś innym mogę przywieźć dekoder;dtv
chciałam powiedzieć internet działa uczennica domu internet działa możemy połączyć lekcje;internet stacjonarny
wcześniej mówiłem razy pytać samo;internet stacjonarny
