customerInput;category
internetu stacjonarnego;internet stacjonarny
sprawdzi³em dekoder pod³¹czenia dobre dalszym ci¹gu obrazy dalszym ci¹gu pokazuje napis;dtv
telewizji proszê telewizji prostu dzia³a telewizja;dtv
telewizja;dtv
dekoder dzia³a s³aby internet;dtv
zgubi³em rachunku proszê przys³anie rachunków mogê p³aciæ kablówki;saldo
dekoderów dzia³a;dtv
telewizorów wyœwietli³a informacja po³¹czenia czym;dtv
odzywa odbiera³ telewizji;dtv
internetu stacjonarnego;internet stacjonarny
kontaktujcie rachunków;saldo
pisze niedop³ata sta³o ostatni rachunek p³acony dwutysiêcznego;saldo
poka¿ telewizji w³¹czyæ g³upia;dtv
parê poprzednio wyliczany zap³acone rachunki s³uchem;saldo
niestety chwili pory monta¿ dekodera;dtv
chyba windykacjê;windykacja
faktura;p³atnoœci
dzia³em windykacji;windykacja
dekodery mogê ogl¹daæ telewizji chcecie odejœæ wczoraj bym dupek dzwoni³ mogê telewizji ogl¹daæ;dtv
numery telefonu komórkowego;telefon mobiny
internet stacjonarny;internet stacjonarny
czas pisze dostêpu;dtv
z³ote zaleg³oœci t¹ sprawê wyjaœniæ przychodzi³y rachunki;windykacja
razy powtarzaæ telewizora;dtv
przyjdzie karta sim telefon zmianê;telefon mobilny
godziny wyjaœni telewizor;dtv
ma³e mieszkania telewizja;dtv
minutki mijaj¹ telewizor wy³¹cza;dtv
salda;saldo
kontaktujê odbiera ogóle telewizor;dtv
¿ychlin ulica in¿yniera okoniewskiego mieszkanie proszê wys³anie rachunków okres dwóch dziêkujê;saldo
niedop³ata;saldo
skoro rachunek zap³aci³am;saldo
nazwisko kowalska rachunków faktur fakt p³ot op³aty kiedyœ p³aci³em;saldo
panie dzwoniê rachunku;saldo
zad³u¿enie wobec internet chcia³am powiedzieæ uregulujê wtorek;windykacja
zap³aty pozostaje pasuje wiem nadp³ata;saldo
dni temu blankiety niedop³ata;p³atnoœci
nowe;dtv
telewizji;dtv
terminu pod³¹czenia telewizji;dtv
wizja dekoderem chyba wina dekodera sygna³u;dtv
wypowiedzenia;rezygnacje
z³ote przysz³a faktura któr¹ op³aci³am proszê wyjaœniæ okres faktura tyle muszê zap³aciæ;p³atnoœci
osób pok³adzie wstrz¹œnie p³atnoœci;saldo
poprosi³ telefonie stacjonarnym mamy sygna³u lubicie drugi tydzieñ;telefon stacjonarny
adres zmieniæ adres;przeniesienie us³ug
dekoderu dzia³a;dtv
internetu stacjonarnego;internet stacjonarny
problem telewizj¹ kablow¹ dziêkujê;dtv
dziewiêciu zap³aty wiem dosta³am wiem;saldo
kontaktuje powodu braku faktury telewizjê kablow¹ miesi¹c;p³atnoœci
dzwoniê bank dodzwoniæ wzi¹æ numer konta p³aciæ proszê pomóc;saldo
faktura przysz³a;p³atnoœci
zap³aciæ;saldo
gruszy blankiety mum ca³ym bli¿sza diuny czas p³acze wiem nadwy¿ka wiem zrobiæ;p³atnoœci
napisane nadp³atê p³aciæ rachunku;saldo
numer taryfa op³at proszê powiedzieæ;dtv
pilot przesta³ chodziæ akurat œwiêta;dtv
zap³acenia wiem;saldo
budowna dekoder proszê powiedzieæ zrobiæ czymœ innym mogê przywieŸæ dekoder;dtv
chcia³am powiedzieæ internet dzia³a uczennica domu internet dzia³a mo¿emy po³¹czyæ lekcje;internet stacjonarny
wczeœniej mówi³em razy pytaæ samo;internet stacjonarny
obchodzi saldo zad³u¿enia ¿adnego zad³u¿enia;saldo
odpowiedzieæ czym mogê pomóc mapa kana³ów pusta zaprogramowano telewizora;dtv
pañstwo wprowadzaæ b³¹d pisz¹c b³¹d dekoder Ÿle pod³¹czony;dtv
domowego;internet stacjonarny
dosta³am informacjê karta sim zosta³a aktywowana;telefon mobilny
dopiero otrzyma³am fakturê nalicza odsetki p³acê;p³atnoœci
rachunku dosta³am denerwujecie wy³¹czyæ prostu;saldo
internet domowy akurat wy³¹czony router;internet stacjonarny
chcia³am zapytaæ rachunki eteny tysi¹ce drugi;saldo
dzisiejszym dniu otrzyma³am dopiero rachunek;saldo
pytania mówiæ po³¹czyæ;telefon stacjonarny
wiem mobilny;internet mobilny
mówiê dzwoniê stacjonarne numery telefon stacjonarny mówiê takiego numeru;telefon stacjonarny
jak¹ dyspozycji jakieœ zmiany danych móg³by wyjaœniæ;umowa
sygna³u;dtv
telewizja internet;dtv
telewizjê w³¹czono;dtv
b³êdny dzwoni³em program telewizji zrobi³ programie;dtv
komórkowy telefon umowy;telefon mobiny
kupi³em nowy telewizor posiadam kartê prze³o¿y³em nowe gniazdo ogóle wykrywalne karta;dtv
internet wifi;internet stacjonarny
mobilnej telewizji;smart tv
iœæ dekoderem znam numer numer klienta;dtv
mówienie salda;saldo
telewizjê;dtv
saldo umowy chce dosta³am listy muszê zrobiæ tymi listami umowy muszê odsy³aæ;saldo
rozmawiaæ telewizji internecie;tv online
dochodzi programu ogóle programów;dtv
dostajê ogóle rachunków;saldo
pieprzenie internet stacjonarny;internet stacjonarny
w³¹czyliœcie ³¹czymy automat proszê po³¹czyæ temat rachunku halo halo;saldo
maszyn¹ s³yszeæ dzwoniê dzwoniê wszêdzie pieni¹dze ode bierze programów halo proszê;dtv
czym wietrze mamy ¿adnego programu telewizji;dtv
wiem rachunek p³acê czas;saldo
pomóc kwitów op³aty skoñczy³y tamtym dzwoni³em mia³y dostarczone;saldo
ponadto pas mówiê domu faktury;p³atnoœci
routera wifi;internet stacjonarny
niedop³ata wziê³a maæ;saldo
telewizjê;dtv
telewizji;dtv
telewizor;dtv
telewizor normany;dtv
telewizor telewizji zrobiæ dzieje zadzwoniæ dzwoniê;dtv
popsu³a kablówka warsza dosyæ w³¹czy³ wczoraj popsu³o wifi przyszed³ zobaczy³;internet stacjonarny
odczytuje telewizji laptopach odczytuje mieæ zgodê stary mia³am wifi odczytuje nowy wifi gje;dtv
tv rower rodziny signum;dtv
tv sprosta;dtv
rachunku;saldo
czym przyszed³ konsultant uruchomi³ jedyny œwiate³ko œwiat zacz okien œwiat telewizja;dtv
jakiej dzwonisz op³aty;saldo
rachunku op³aty;saldo
stanie saldo;saldo
telefonie internet mamy internet stacjonarny telewizja;internet stacjonarny
zepsu³ telewizor przyszed³ naprawi³;dtv
zg³asza³am dekoder dzia³a za³o¿ony zawieszony proszê zrobione mia³o elektronicznie zrobione;dtv
zesz³ym tygodniu przyszed³ rachunek zaleg³oœæ miesi¹c dowiedzieæ miesi¹c;saldo
wie dekoder popsu³ jak¹œ kartê now¹ dacie dekodera;dtv
wiesz temat telefonu komórkowego;telefon mobiny
porozmawiaæ temat rachunku sp³aty d³ugu rzekomego d³ugu;saldo
uciek³ za³atwiæ telewizji kabla podpi¹æ kablu zrobi³y;dtv
rachunku;saldo
telefonu komórkowego;telefon mobilny
zwrotu sprzêtu;zwrot sprzêtu
abonament abonament abonentem telewizji;dtv
abonament hbo;hbo
abonament telefon stacjonarny;telefon stacjonarny
abonament p³atnoœci abonament;saldo
abonament rachunki;saldo
abonament telefoniczny komórka komórka;telefon mobilny
abonamentowej telewizja;dtv
abonamentu hbo;hbo
mans komórkowych œrodków koncie;internet mobilny
ogóle odbioru telewizji;dtv
mogê domowego mogê zebraæ ¿adnego programu radio wy³¹czy³ mogê zlikwidowaæ;dtv
rachunku rachunku;saldo
technicznej sygna³u telewizji sygna³u;dtv
wyjaœniæ anulowa³ moj¹ wypowiedzenie umowy;rezygnacje
adaptacji telewizora;dtv
adapter zamontowania karty telewizora samsung;dtv
adres email faktury miesi¹c;p³atnoœci
adres wysy³aj¹ prostu rachunki zap³aty us³ugi telewizyjne;saldo
salda;saldo
aha;dtv
aha awarii dekodera telewizji;dtv
aha;dtv
aha halo dosta³am faktury;p³atnoœci
aha proszê mamy telewizji;dtv
aha zablokowa³ telewizor erotyce blokada rodzicielska;dtv
aktu faktury;p³atnoœci
aktualizacja dekodera;dtv
aktualizacja dekodera telewizji;dtv
aktualizacja hbo;hbo
aktualizacja telefonu komórkowego;telefon mobilny
aktualnego rachunku;saldo
aktualny rachunek;saldo
aktualny rachunek abonament;saldo
aktywacja dekodera;dtv
aktywacja e-book;umowa
aktywacja hbo;hbo
aktywacja hbo;hbo
aktywacja internetu stacjonarnego;internet stacjonarny
aktywacja karty;dtv
aktywacja mobilnego internetu;internet mobilny
aktywacja produkty;umowa
aktywacja telefonu komórkowego;telefon mobilny
aktywacja tidal;tidal
aktywacja us³ugi internet stacjonarny;internet stacjonarny
aktywacja us³ugi voucher netflix;netflix
aktywacja voucher netflix;netflix
aktywacja vouchera fix;netflix
aktywacja vouchera netflix;netflix
aktywowa³em us³ugê hbo pi¹tek nadal aktywna problem techniczny zostanie naprawiony;hbo
aktywowa³em has³o internetu córka zapomnia³a has³a mogê spierdalaj zau³ek telefonie;internet stacjonarny
aktywowanie us³ugi wifi;internet stacjonarny
muszê zap³aciæ telefon tele;saldo
wiem kwota dzwoni³ przedstawi³;saldo
rachunku saldo rachunku;saldo
salda dosta³am umowa moimi niemego;saldo
telefon domu;telefon stacjonarny
brama internet stacjonarny;internet stacjonarny
b³¹d pomó¿ wys³aæ b³¹d telewizji;dtv
dzwoniê uszkodzenia anten¹ telewizyjn¹ czas pisze sygna³u wiem dzieje;dtv
chcia³em rachunkami gadaæ Ÿle po³¹czê wypisanie rachunek;p³atnoœci
dzwoniê rachunków przychodzi rachunek p³atniczy;saldo
paru dni ogóle obrazu telewizorze wiecznie wiecznie wy³¹czamy sygna³u sygna³u ogóle;dtv
jakieœ kapie internet stacjonarny model nogê;internet stacjonarny
trzeci powtarzam rozwi¹zaæ umowê proszê rozmowê odpowiedni¹ osob¹ zasiêgn¹æ informacji temacie;rezygnacje
komu powiedzieæ telewizji;dtv
dosta³am druku rachunku;saldo
komórkowego op³acane ka¿dego miesi¹ca odbieracie rachunek;telefon mobilny
³¹cznoœci dekoderem szybko wyœwietla kana³ów kana³y wyœwietlaj¹;dtv
pos³ucha ca³ym bloku programu telewizyjnego internetu stacjonarnego;internet stacjonarny
papierowej faktury dosta³em zap³acenia;p³atnoœci
czym mówi³a telewizjê;dtv
pilot telewizorze chce prostu w³¹czyæ dekoder w³¹czyæ;dtv
pilot dzia³a ogóle dekodera robotem gadasz wygl¹dzie telewizja telewizja telewizjê;dtv
proszê nale¿y ekipy dwudziestu obraz g³osu;dtv
proszê proszê zrozumieæ dzwoniê awarii telewizora gra telewizor;dtv
proszê przekazaæ dziêkujê us³ugê umówion¹ poniedzia³ek jutro;dtv
faktury proszê dosta³em papierowej bym chcia³ zap³aciæ us³ugê;p³atnoœci
dotyczy stacjonarnego takiego œwiat³owodu;internet stacjonarny
internet stacjonarny;internet stacjonarny
sta³o dwóch dni telewizor chyba tygodnia;dtv
minê³o minê³o fakcie przejrzysz rachunek przeszczepiæ skrzynce;saldo
ogóle dzia³a³ telewizor komunikat telewizje pamiêtam wie;dtv
chce rozmawiaæ temat przeniesienia us³ug;przeniesienie us³ug
zatrzymany polsat dzia³a b³êdy faktycznie razie polsatu;polsat
oczywiœcie dzwoniê;dtv
krause proszê sprawdziæ zaleg³oœci op³atach;windykacja
ameriga telewizor zepsuje bêdziecie odszkodowanie p³aciæ leki nerwicê;dtv
analizowaæ prawda po³¹czenia po³¹czyæ wifi rozumiem prawdê starsz¹ kobiet¹ ogóle jakieœ bp mieszkam;internet stacjonarny
analogowej cyfrowej telewizji;dtv
¿adnego dekodera wymienia³am proszê przeanalizowaæ sprawdziæ;dtv
domowego komórkowego;telefon stacjonarny
komórkowego domowego prostu umowa telewizjê;telefon mobiny
komórkowego dotyczy telewizora;telefon mobilny
nikogo mieszka dawno wymeldowane czas przysy³acie rachunki istnieje;saldo
pilot;dtv
sprzêtu program polsatu;polsat
stacjonarnego wifi;internet stacjonarny
telefonu domowego telefonu komórkowego;telefon stacjonarny
telewizji;dtv
zad³u¿enia bym chcia³a mieæ;windykacja
antenowego ogóle telewizji;dtv
anulowaæ wypowiedzenia umowy;rezygnacje
anulowane wydzwania windykacja wiem;windykacja
anulowanie odst¹pienie umowy;odst¹pienie
anulowanie p³atnoœci;saldo
anulowanie przeniesienia numerów;przeniesienie us³ug
anulowanie przeniesienia numeru innej sieci;przeniesienie us³ug
anulowanie rezygnacji;rezygnacje
anulowanie wypowiedzenia;rezygnacje
aparat telewizyjny telewizyjny wy³¹cza czerwone œwiate³ko wyskakuje ¿adnego odbioru dekoder podobno nale¿a³ ubieg³ego;dtv
aplikacja tidal;tidal
aplikacji telewizji;dtv
aplikacji;smart tv
aplikacji tidal;tidal
arnego internetu stacjonarnego;internet stacjonarny
automat mówi saldo automat nagrany g³os mówi ¿ywa osoba;saldo
automat salda wzrostu op³at;saldo
awaria wtyczki wchodz¹cej dekoderu;dtv
awaria awaria dalej drugi telewizji;dtv
awaria awaria odbioru telewizora telefonu generalnie us³ug;dtv
awaria awaria telefonu domowego;telefon stacjonarny
awaria awaria telewizji satelitarnej internetu kablowej telewizji kablowej;dtv
awaria telewizji kablowej;dtv
awaria chyba trzech dni zak³ócenia ogl¹daæ telewizji;dtv
awaria dzia³a telewizor;dtv
awaria dekodera;dtv
awaria dekodera sygna³u;dtv
awaria dekodera internetu stacjonarnego;internet stacjonarny
awaria dekodera b³¹d karty telewizor dzia³a;dtv
awaria dekodera ogl¹da nigdzie przekazuje sygna³ów dekodera telewizora;dtv
awaria dekodera przepraszam;dtv
awaria dekodera telewizji;dtv
awaria dekodera telewizji;dtv
awaria dekodera vectrze;dtv
