customerInput;category
0 internetu stacjonarnego;internet stacjonarny
0 no to był 0 jestem;dtv
0 sprawdziłem dekoder wszystkie podłączenia są dobre nie ma w dalszym ciągu obrazy w dalszym ciągu się pokazuje ten napis;dtv
0 telewizji proszę panią telewizji po prostu nie działa telewizja;dtv
1 by do mnie telewizja;dtv
1 dekoder mi nie działa i mam bardzo słaby internet;dtv
1 więcej tylko gdzieś zgubiłem nie mam rachunku i proszę o przysłanie rachunków na ten rok bo nie mam nie mogę płacić kablówki za styczeń;saldo
1 z dekoderów nie działa;dtv
1 z telewizorów wyświetliła się informacja brak połączenia z czym ja;dtv
10 lat i odzywa nie będzie odbierał tej telewizji;dtv
100 internetu stacjonarnego;internet stacjonarny
100 kontaktujcie sprawach rachunków;saldo
12 groszy i pisze że jest niedopłata czemu to tak się stało jak ostatni rachunek był płacony trzydziestego listopada dwutysięcznego dwudziestego pierwszego roku;saldo
12 złotych pokaż mi kurwa na telewizji jak mam to włączyć czy głupia kurwa ci po;dtv
130 parę złotych a ja mam wszystko poprzednio tutaj wyliczany zapłacone bo mam na te rachunki słuchem co pani na to;saldo
136 i niestety nie ma w tej chwili nie ma do tej pory nie ma a był montaż dekodera;dtv
150 8 chyba zł i teraz mnie windykację co to ma być;windykacja
199 faktura;płatności
2 6 działem windykacji;windykacja
2 dekodery ja nie mogę oglądać telewizji co wy chcecie mam odejść już wczoraj ja bym dupek dzwonił dzisiaj nie mogę kurwa telewizji oglądać;dtv
2 numery telefonu komórkowego;telefon mobiny
200 internet stacjonarny;internet stacjonarny
202 203 205 cały czas pisze brak dostępu;dtv
284 złote zaległości chciałabym tą sprawę wyjaśnić dlaczego nie przychodziły rachunki;windykacja
3 10 razy tobie powtarzać telewizora;dtv
3 do mnie przyjdzie karta sim na telefon na zmianę;telefon mobilny
3 godziny to się wyjaśni ale telewizor ten;dtv
3 małe mieszkania telewizja;dtv
3 minutki mijają i telewizor sam się wyłącza;dtv
3 salda;saldo
30 kontaktuję bo nie odbiera mi w ogóle telewizor;dtv
320 żychlin ulica inżyniera okoniewskiego 4 mieszkanie 8 proszę o wysłanie rachunków na okres dwóch lat dziękuję;saldo
34 90 i coś tam że jakaś niedopłata jest;saldo
34 skoro ja rachunek zapłaciłam za grudzień dziesiątego stycznia więc o co tu chodzi;saldo
37 55 moje nazwisko elżbieta kowalska rachunków faktur fakt na płot na opłaty ponieważ ja kiedyś płaciłem;saldo
4 3 panie ja dzwonię w sprawie rachunku;saldo
4 87 0 5 ja mam zadłużenie wobec vectry za internet i chciałam powiedzieć że ureguluję to we wtorek;windykacja
4 88 zł do zapłaty pozostaje 0 złotych coś mi tu nie pasuje bo nie wiem dlaczego nadpłata;saldo
4 dni temu te blankiety od was i tam jest tak niedopłata 51;płatności
4 nowe ktery;dtv
4 telewizji;dtv
4 terminu podłączenia telewizji;dtv
4 wizja z dekoderem to chyba jest wina dekodera żeby brak sygnału;dtv
4 wypowiedzenia;rezygnacje
453 złote 40 groszy a przyszła mi faktura za 160 złotych którą w styczniu opłaciłam proszę mi wyjaśnić za jaki okres jest ta faktura i dlaczego tyle muszę zapłacić;płatności
46 osób wszyscy na pokładzie wstrząśnie płatności;saldo
48 poprosił mnie w telefonie stacjonarnym nie mamy sygnału lubicie już drugi tydzień;telefon stacjonarny
5 adres zmienić adres;przeniesienie usług
5 kurwa dekoderu bo mi nie działa;dtv
500 internetu stacjonarnego;internet stacjonarny
51 przez 12 był problem z telewizją kablową no sam się jakoś się no dziękuję;dtv
52 dziewięciu do zapłaty ja nie wiem o co chodzi teraz w styczniu też dostałam listopadzie grudnia nie wiem o co chodzi;saldo
55 kontaktuje się z powodu braku faktury za telewizję kablową za miesiąc styczeń;płatności
56 ja tam dzwonię a bank się dodzwonić i nie można skąd ja mam wziąć numer konta na jakie mam płacić proszę mi z tym pomóc;saldo
59 a faktura nie przyszła dzisiaj na 131 97;płatności
60 97 32 ile ja mam zapłacić do trzydziestego pierwszego stycznia;saldo
7 gruszy wszystkie blankiety mum na 35 zł na całym do bliższa diuny cały czas tak płacze i nie wiem skąd się to nadwyżka nie wiem co z tym teraz zrobić;płatności
79 26 a za styczeń jest tu napisane że 51 89 jest nadpłatę czy nie płacić tego pierwszego rachunku czy;saldo
800 i na ten numer 58 jaka jest taryfa opłat proszę mi powiedzieć;dtv
9 10 11 lat pilot i on przestał mi chodzić akurat na święta;dtv
99 a teraz tutaj mam 168 złotych do zapłacenia nie wiem za co;saldo
a budowna na na na ten dekoder proszę mi powiedzieć jak to zrobić w czymś innym mogę przywieźć dekoder;dtv
a chciałam powiedzieć że internet nie działa czyli co uczennica w domu je za internet nie działa nie możemy się połączyć na lekcje;internet stacjonarny
a co ja kurwa wcześniej mówiłem tak ja pierdolę 2 razy pytać o to samo;internet stacjonarny
a co mnie obchodzi saldo zadłużenia ale nie mam żadnego zadłużenia;saldo
a czy ja teraz mam odpowiedzieć w czym mogę pomóc mapa kanałów jest pusta nie zaprogramowano telewizora;dtv
a dlaczego państwo wprowadzać w błąd pisząc mi że mam błąd czy 0 czyli dekoder jest źle podłączony;dtv
a domowego;internet stacjonarny
a dostałam informację że moja karta sim została aktywowana i że;telefon mobilny
a dzisiaj piętnastego lutego dopiero otrzymałam fakturę i zawsze nalicza mi odsetki bo ja płacę piętnastego;płatności
a dzisiaj się z czternasty i rachunku nie dostałam się denerwujecie mi wyłączyć który po prostu no;saldo
a internet domowy został mi akurat wyłączony router dlaczego;internet stacjonarny
a ja chciałam zapytać kiedy będą rachunki na eteny rok dwa tysiące dwudziesty drugi;saldo
a ja dzisiejszym dniu ósmego otrzymałam dopiero rachunek;saldo
a ja jestem tylko do pytania jak mam mówić z kim mam się połączyć;telefon stacjonarny
a ja wiem to to jest mobilny albo;internet mobilny
a jak mówię jak dzwonię na stacjonarne numery telefon stacjonarny to mówię nie ma takiego numeru;telefon stacjonarny
a jaką dyspozycji chodzi o jakieś zmiany danych chodzi mógłby mi ktoś wyjaśnić;umowa
a jest brak sygnału;dtv
a jest telewizja internet;dtv
a jeszcze mi telewizję nie włączono;dtv
a już błędny dzwoniłem i jest program w telewizji zrobił się programie bo nie było;dtv
a komórkowy telefon chodzi o umowy;telefon mobiny
a kupiłem nowy telewizor posiadam kartę vectry przełożyłem w nowe gniazdo i w ogóle nie jest wykrywalne ta ta ta karta;dtv
a mi internet wifi dlaczego;internet stacjonarny
a mobilnej telewizji;smart tv
a może iść z dekoderem bo ja się na tym nie znam a mój numer numer klienta to jest 0 313 75 21;dtv
a mówienie salda;saldo
a na chuj mi telewizję;dtv
a nic saldo ani ja w sprawie umowy chce czy ja mam li dostałam 2 listy czy ja muszę co mam zrobić z tymi listami umowy czy muszę odsyłać czy nie co;saldo
a nie chcę rozmawiać o telewizji i internecie;tv online
a nie dochodzi o że nie ma programu vectry w ogóle nie ma programów vectry;dtv
a nie dostaję w ogóle rachunków o to mi chodzi;saldo
a nie pieprzenie internet stacjonarny;internet stacjonarny
a nie włączyliście łączymy się automat ja proszę mnie połączyć na temat rachunku halo halo;saldo
a nie z maszyną to jak pani ma słyszeć dzwonię i dzwonię wszędzie pieniądze ode mnie że bierze a programów nie mam halo proszę pani jest pani tam;dtv
a po czym wietrze nie mamy żadnego programu w telewizji;dtv
a po drugie nie wiem skąd ten rachunek 38 groszy jak płacę na czas;saldo
a pomóc w tym że nie mam kwitów już na opłaty bo się skończyły już w tamtym roku ja dzwoniłem i miały być dostarczone;saldo
a ponadto na pas mówię do ciebie domu w sprawie faktury;płatności
a routera wifi;internet stacjonarny
a skąd to się niedopłata wzięła kurwa jego mać;saldo
a telewizję;dtv
a telewizji;dtv
a telewizor nie;dtv
a telewizor normany;dtv
a telewizor w telewizji nie mam nic co mam zrobić gdzie dzieje że mam zadzwonić dzwonię już od rana;dtv
a to w tym że się popsuła kablówka warsza bo już mam dosyć włączył wczoraj się popsuło dzisiaj wifi tak żeby przyszedł zobaczył;internet stacjonarny
a tutaj by nie odczytuje na telewizji i na laptopach odczytuje mieć zgodę stary co miałam te wifi a nie odczytuje mi nowy wifi 5 gje;dtv
a tv rower rodziny signum;dtv
a tv sprosta;dtv
a ty z rachunku;saldo
a w czym żeby przyszedł konsultant i uruchomił mi te to jedyny jest światełko na świat zacz okien tylko na świat to telewizja;dtv
a w jakiej sprawie dzwonisz o opłaty;saldo
a w rachunku opłaty;saldo
a w stanie saldo;saldo
a w telefonie internet mamy internet stacjonarny i telewizja;internet stacjonarny
a w tym zepsuł się telewizor i chcę żeby ktoś przyszedł i naprawił no;dtv
a w tym że zgłaszałam że dekoder nie działa co był założony w listopadzie jest zawieszony i proszę żeby to było zrobione i miało być elektronicznie jest zrobione;dtv
a w zeszłym tygodniu przyszedł rachunek że mam zaległość za 1 miesiąc i chciałabym się właśnie dowiedzieć za który to jest miesiąc;saldo
a wie pani to dekoder nam się popsuł i to trzeba jakąś kartę czy tam nową dacie czy coś co do tego dekodera;dtv
a wiesz na temat telefonu komórkowego;telefon mobiny
a więc chciałbym porozmawiać na temat rachunku w sprawie spłaty długu rzekomego długu;saldo
a więc dlaczego uciekł mi załatwić dlatego bo od pierwszego lutego już nie ma telewizji kabla i podpiąć po kablu ale u mnie tak jest to zrobiły;dtv
a wy rachunku;saldo
a z telefonu komórkowego;telefon mobilny
a zwrotu sprzętu;zwrot sprzętu
abonament abonament jestem abonentem telewizji i;dtv
abonament hbo;hbo
abonament na telefon stacjonarny;telefon stacjonarny
abonament płatności za abonament;saldo
abonament rachunki;saldo
abonament telefoniczny komórka komórka;telefon mobilny
abonamentowej telewizja;dtv
abonamentu na hbo go;hbo
abraham na mans komórkowych brak środków na koncie;internet mobilny
aby nie ma w ogóle odbioru telewizji;dtv
aby nie mogę z domowego ale nie mogę zebrać żadnego programu tylko radio mi się wyłączył i nie mogę zlikwidować tego co to jest;dtv
aby rachunku przy rachunku;saldo
aby technicznej brak sygnału w telewizji nie mam sygnału;dtv
