,0,1,2
0,kanałach,1,internet stacjonarny
1,osiedlu,1,internet stacjonarny
2,punktu,2,internet stacjonarny
3,aparat,1,internet stacjonarny
4,dostępu,16,internet stacjonarny
5,naprawy,3,internet stacjonarny
6,zlikwidować,1,internet stacjonarny
7,piętnastu,1,internet stacjonarny
8,holtera,1,internet stacjonarny
9,durne,1,internet stacjonarny
10,naszej,1,internet stacjonarny
11,pisze,2,internet stacjonarny
12,kamera,1,internet stacjonarny
13,zareklamować,2,internet stacjonarny
14,nowym,1,internet stacjonarny
15,logo,1,internet stacjonarny
16,łapie,2,internet stacjonarny
17,sposoby,1,internet stacjonarny
18,stacjona,5,internet stacjonarny
19,drukarką,1,internet stacjonarny
20,routera,236,internet stacjonarny
21,zwana,1,internet stacjonarny
22,telefonować,1,internet stacjonarny
23,stronach,1,internet stacjonarny
24,kanały,3,internet stacjonarny
25,długa,1,internet stacjonarny
26,znajdę,1,internet stacjonarny
27,coolpad,1,internet stacjonarny
28,wola,1,internet stacjonarny
29,takiej,1,internet stacjonarny
30,sobieskiego,1,internet stacjonarny
31,przyłączył,1,internet stacjonarny
32,łączy,7,internet stacjonarny
33,sprawa,88,internet stacjonarny
34,odpowiedzi,1,internet stacjonarny
35,modema,8,internet stacjonarny
36,siebie,2,internet stacjonarny
37,modem,127,internet stacjonarny
38,przenieść,1,internet stacjonarny
39,jutro,3,internet stacjonarny
40,stałej,1,internet stacjonarny
41,połączyć,38,internet stacjonarny
42,zaułek,1,internet stacjonarny
43,osadzone,1,internet stacjonarny
44,zasilacza,1,internet stacjonarny
45,problemów,1,internet stacjonarny
46,ramach,1,internet stacjonarny
47,routeru,28,internet stacjonarny
48,szlag,1,internet stacjonarny
49,baw,1,internet stacjonarny
50,drugim,2,internet stacjonarny
51,kordzie,1,internet stacjonarny
52,bezprzewodowo,1,internet stacjonarny
53,typu,1,internet stacjonarny
54,telewizyjnego,10,internet stacjonarny
55,świadczenia,1,internet stacjonarny
56,zaczęłam,1,internet stacjonarny
57,mogli,2,internet stacjonarny
58,domowych,1,internet stacjonarny
59,komputerze,23,internet stacjonarny
60,powiedziała,2,internet stacjonarny
61,mieliśmy,1,internet stacjonarny
62,czytam,2,internet stacjonarny
63,dotyczącego,1,internet stacjonarny
64,publicznego,1,internet stacjonarny
65,strefy,1,internet stacjonarny
66,zamknięty,1,internet stacjonarny
